MGidTip,SendServerName,SendCatalog,SendLocation,Title,SendGidTip,SendOpt
01,Fserver,KOSEM2017,KMS01,VEZNECİLER,,*
01.001,Fserver,KOSEM2017,KMS01,VEZ.ELEKTRİK,,*
01.002,Fserver,KOSEM2017,KMS01,VEZ.ISKI,,*
01.003,Fserver,KOSEM2017,KMS01,VEZ.TELEFON,,*
01.004,Fserver,KOSEM2017,KMS01,VEZ.INTERNET,,*
01.005,Fserver,KOSEM2017,KMS01,VEZ.MUTFAK,,*
01.006,Fserver,KOSEM2017,KMS01,VEZ.KIRTASİYE,,*
01.007,Fserver,KOSEM2017,KMS01,VEZ.BAKIM,,*
01.008,Fserver,KOSEM2017,KMS01,VEZ.ÇUVAL KOLİ,,*
01.009,Fserver,KOSEM2017,KMS01,VEZ.YOL,,*
01.010,Fserver,KOSEM2017,KMS01,VEZ.KİRA,,*
01.011,Fserver,KOSEM2017,KMS01,VEZ.AYAKKABI TAMIR,,*
01.012,Fserver,KOSEM2017,KMS01,VEZ.KOMISYON,,*
01.013,Fserver,KOSEM2017,KMS01,VEZ.KARGO,,*
01.014,Fserver,KOSEM2017,KMS01,VEZ.HAMMALIYE,,*
01.015,Fserver,KOSEM2017,KMS01,VEZ.KASA NOKSAN,,*
01.016,Fserver,KOSEM2017,KMS01,VEZ.OTOPARK,,*
01.017,Fserver,KOSEM2017,KMS01,VEZ.ECZANE,,*
01.018,Fserver,KOSEM2017,KMS01,VEZ.YOVMIYE,,*
01.019,Fserver,KOSEM2017,KMS01,VEZ.REKLAM,,*
01.020,Fserver,KOSEM2017,KMS01,VEZNECİLER A,,*
01.021,Fserver,KOSEM2017,KMS01,VEZN İKRAM,,*
01.022,Fserver,KOSEM2017,KMS01,VEZ SSK ÖDEMESİ,,*
01.023,Fserver,KOSEM2017,KMS01,VEZNECİLER İŞYERİ SİGORTA GD.,,*
02,Fserver,KOSEM2017,KMS01,Z.BURNU,,*
02.001,Fserver,KOSEM2017,KMS01,ZB.ELEKTRİK,,*
02.002,Fserver,KOSEM2017,KMS01,ZB.ISKI,,*
02.003,Fserver,KOSEM2017,KMS01,ZB.TELEFON,,*
02.004,Fserver,KOSEM2017,KMS01,ZB.INTERNET,,*
02.005,Fserver,KOSEM2017,KMS01,ZB.MUTFAK,,*
02.006,Fserver,KOSEM2017,KMS01,ZB.REKLAM,,*
02.007,Fserver,KOSEM2017,KMS01,ZB.BAKIM,,*
02.008,Fserver,KOSEM2017,KMS01,ZB.TRAFIK CEZASI,,*
02.009,Fserver,KOSEM2017,KMS01,ZB.YOL,,*
02.010,Fserver,KOSEM2017,KMS01,ZB.KIRA,,*
02.011,Fserver,KOSEM2017,KMS01,ZB.KARGO,,*
02.013,Fserver,KOSEM2017,KMS01,ZB.HAMMALIYE,,*
02.014,Fserver,KOSEM2017,KMS01,ZB.KASA NOKSAN,,*
02.015,Fserver,KOSEM2017,KMS01,ZB.OTOPARK,,*
02.016,Fserver,KOSEM2017,KMS01,ZB.ECZANE,,*
02.017,Fserver,KOSEM2017,KMS01,ZB.YOVMIYE,,*
02.018,Fserver,KOSEM2017,KMS01,Z.B TAMIR,,*
02.019,Fserver,KOSEM2017,KMS01,ZB.KIRTASİYE,,*
02.020,Fserver,KOSEM2017,KMS01,ZB DOĞALGAZ,,*
02.021,Fserver,KOSEM2017,KMS01,Z.BURNU KOMİSYON,,*
02.022,Fserver,KOSEM2017,KMS01,ZB SSK ÖDEMESİ,,*
02.023,Fserver,KOSEM2017,KMS01,Z.BURNU İLAN VE REKLAM VERGİSİ,,*
