TRealName,TCaption,TProtect,DBName
Par_,<isimsiz>,G,Antrepo20
Par_Cari_OzKod1,Para Cinsi,G,Antrepo20
Par_Cari_OzKod10,İşlem Tipi,G,Antrepo20
Par_Cari_OzKod3,Kategori,G,Antrepo20
Par_Cari_OzKod4,Müş.Temsilcisi,G,Antrepo20
Par_Cari_OzKod5,Ortak Cari,G,Antrepo20
Par_Cari_OzKod9,Ödeme Şekli,G,Antrepo20
Par_CariTip,Cari Tipi,G,Antrepo20
Par_Desi,Desi,G,Antrepo20
Par_Stok_OzKod1,Model,G,Antrepo20
Par_Stok_OzKod10,KalipBilgisi,G,Antrepo20
Par_Stok_OzKod11,Taban Yüksekliği,G,Antrepo20
Par_Stok_OzKod12,Kalıp,G,Antrepo20
Par_Stok_OzKod13,Aksesuar Bilgisi,G,Antrepo20
Par_Stok_OzKod14,Bilek Baldır Ölçüsü,G,Antrepo20
Par_Stok_OzKod15,Bilek Uzunluğu,G,Antrepo20
Par_Stok_OzKod16,Burun ve Topuk,G,Antrepo20
Par_Stok_OzKod17,Ürün Boyutu,G,Antrepo20
Par_Stok_OzKod18,Kapanma Türü,G,Antrepo20
Par_Stok_OzKod19,Ürün Niteligi,G,Antrepo20
Par_Stok_OzKod2,Model Yılı,G,Antrepo20
Par_Stok_OzKod20,Özel Kod 20,G,Antrepo20
Par_Stok_OzKod3,Sezon,G,Antrepo20
Par_Stok_OzKod4,Taban Tipi,G,Antrepo20
Par_Stok_OzKod5,Astar Tipi,G,Antrepo20
Par_Stok_OzKod6,Dış Özellik,G,Antrepo20
Par_Stok_OzKod7,Üretim Yeri,G,Antrepo20
Par_Stok_OzKod8,Web Satış,G,Antrepo20
Par_UrunAdi,Ürün Adı,G,Antrepo20
Par_,<isimsiz>,G,Cabani20
Par_Cari_OzKod1,Para Cinsi,G,Cabani20
Par_Cari_OzKod10,İşlem Tipi,G,Cabani20
Par_Cari_OzKod3,Kategori,G,Cabani20
Par_Cari_OzKod4,Müş.Temsilcisi,G,Cabani20
Par_Cari_OzKod5,Ortak Cari,G,Cabani20
Par_Cari_OzKod9,Ödeme Şekli,G,Cabani20
Par_CariTip,Cari Tipi,G,Cabani20
Par_Desi,Desi,G,Cabani20
Par_Stok_OzKod1,Model,G,Cabani20
Par_Stok_OzKod10,KalipBilgisi,G,Cabani20
Par_Stok_OzKod11,Taban Yüksekliği,G,Cabani20
Par_Stok_OzKod12,Kalıp,G,Cabani20
Par_Stok_OzKod13,Aksesuar Bilgisi,G,Cabani20
Par_Stok_OzKod14,Bilek Baldır Ölçüsü,G,Cabani20
Par_Stok_OzKod15,Bilek Uzunluğu,G,Cabani20
Par_Stok_OzKod16,Burun ve Topuk,G,Cabani20
Par_Stok_OzKod17,Ürün Boyutu,G,Cabani20
