UserName,HKEY,FullPath,Value,kgid
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\AppVerName,KGShop,2669
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\miMDITabbed,-,2685
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\miMenuOtom3,-,2686
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\miTema,miLondonLiquidSky,2687
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\002- 100 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3504
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\002-761 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,1087
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2444 Stoğunun Mevcut Renk Listesi;Tanim,1,1403
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2449 Stoğunun Mevcut Renk Listesi;Tanim,1,1383
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2450 Stoğunun Mevcut Renk Listesi;Tanim,1,1413
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2452 Stoğunun Mevcut Renk Listesi;Tanim,1,2254
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2454 Stoğunun Mevcut Renk Listesi;Tanim,1,1418
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2455 Stoğunun Mevcut Renk Listesi;Tanim,1,1373
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2456 Stoğunun Mevcut Renk Listesi;Tanim,1,1398
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2457 Stoğunun Mevcut Renk Listesi;Tanim,1,1393
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2458 Stoğunun Mevcut Renk Listesi;Tanim,1,1408
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2459 Stoğunun Mevcut Renk Listesi;Tanim,1,1378
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2460 Stoğunun Mevcut Renk Listesi;Tanim,1,2269
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2461 Stoğunun Mevcut Renk Listesi;Tanim,1,2259
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2463 Stoğunun Mevcut Renk Listesi;Tanim,1,2279
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2464 Stoğunun Mevcut Renk Listesi;Tanim,1,2264
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\004-2465 Stoğunun Mevcut Renk Listesi;Tanim,1,2274
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\006- 8048 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3057
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\006- 8048 Stoğunun Beden Listesi;Beden,1,3052
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\009- 400-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3037
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\009- 402 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3042
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\009- 42-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3047
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 305 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3281
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 308 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3251
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011 308-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3216
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 309 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3211
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011 309-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3221
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 312 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3291
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011 312-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3286
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011 313-1 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3226
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 340 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3271
yulya,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\011- 342 Stoğun da kullanılabilecek asortiler;Sec;Koli_Kod;Tanim;Asorti_Dag,0;1;2;3,3301
