ModelKod,Proses,Parcainx,BedKod1,BedKod2,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
100907,25,2,155,155,1,8,,,,,,
100907,25,2,156,156,2,8,,,,,,
100907,25,2,157,157,3,8,,,,,,
100907,25,2,158,158,4,8,,,,,,
100907,25,2,159,159,5,8,,,,,,
100907,25,2,160,160,6,8,,,,,,
100907,25,2,161,161,7,8,,,,,,
100907,25,2,162,162,8,8,,,,,,
100907,25,2,168,168,9,8,,,,,,
100907,25,2,206,206,10,8,,,,,,
100907,25,2,207,207,11,8,,,,,,
100907,25,3,155,155,12,9,,,,,,
100907,25,3,156,156,13,9,,,,,,
100907,25,3,157,157,14,9,,,,,,
100907,25,3,158,158,15,9,,,,,,
100907,25,3,159,159,16,9,,,,,,
100907,25,3,160,160,17,9,,,,,,
100907,25,3,161,161,18,9,,,,,,
100907,25,3,162,162,19,9,,,,,,
100907,25,3,168,168,20,9,,,,,,
100907,25,3,206,206,21,9,,,,,,
100907,25,3,207,207,22,9,,,,,,
100933,25,1,155,155,23,28,,,,,,
100933,25,1,156,156,24,28,,,,,,
100933,25,1,157,157,25,28,,,,,,
100933,25,1,158,158,26,28,,,,,,
100933,25,1,159,159,27,28,,,,,,
100933,25,1,160,160,28,28,,,,,,
100933,25,1,161,161,29,28,,,,,,
100933,25,1,162,162,30,28,,,,,,
100933,25,1,168,168,31,28,,,,,,
100933,25,1,206,206,32,28,,,,,,
100933,25,1,207,207,33,28,,,,,,
100933,25,1,249,249,34,28,,,,,,
100933,25,2,155,155,35,29,,,,,,
100933,25,2,156,156,36,29,,,,,,
100933,25,2,157,157,37,29,,,,,,
100933,25,2,158,158,38,29,,,,,,
100933,25,2,159,159,39,29,,,,,,
100933,25,2,160,160,40,29,,,,,,
100933,25,2,161,161,41,29,,,,,,
100933,25,2,162,162,42,29,,,,,,
100933,25,2,168,168,43,29,,,,,,
100933,25,2,206,206,44,29,,,,,,
100933,25,2,207,207,45,29,,,,,,
100933,25,2,249,249,46,29,,,,,,
100933,25,3,155,155,47,30,,,,,,
100933,25,3,156,156,48,30,,,,,,
100933,25,3,157,157,49,30,,,,,,
100933,25,3,158,158,50,30,,,,,,
100933,25,3,159,159,51,30,,,,,,
100933,25,3,160,160,52,30,,,,,,
100933,25,3,161,161,53,30,,,,,,
100933,25,3,162,162,54,30,,,,,,
100933,25,3,168,168,55,30,,,,,,
100933,25,3,206,206,56,30,,,,,,
100933,25,3,207,207,57,30,,,,,,
100933,25,3,249,249,58,30,,,,,,
100946,25,1,155,155,59,49,,,,,,
100946,25,1,156,156,60,49,,,,,,
100946,25,1,157,157,61,49,,,,,,
100946,25,1,158,158,62,49,,,,,,
100946,25,1,159,159,63,49,,,,,,
100946,25,1,160,160,64,49,,,,,,
100946,25,1,161,161,65,49,,,,,,
100946,25,1,162,162,66,49,,,,,,
100946,25,1,168,168,67,49,,,,,,
100946,25,1,206,206,68,49,,,,,,
100946,25,1,207,207,69,49,,,,,,
100946,25,1,249,249,70,49,,,,,,
100946,25,2,155,155,71,50,,,,,,
100946,25,2,156,156,72,50,,,,,,
100946,25,2,157,157,73,50,,,,,,
100946,25,2,158,158,74,50,,,,,,
100946,25,2,159,159,75,50,,,,,,
100946,25,2,160,160,76,50,,,,,,
100946,25,2,161,161,77,50,,,,,,
100946,25,2,162,162,78,50,,,,,,
100946,25,2,168,168,79,50,,,,,,
100946,25,2,206,206,80,50,,,,,,
100946,25,2,207,207,81,50,,,,,,
100946,25,2,249,249,82,50,,,,,,
100946,25,3,155,155,83,51,,,,,,
100946,25,3,156,156,84,51,,,,,,
100946,25,3,157,157,85,51,,,,,,
100946,25,3,158,158,86,51,,,,,,
100946,25,3,159,159,87,51,,,,,,
100946,25,3,160,160,88,51,,,,,,
100946,25,3,161,161,89,51,,,,,,
100946,25,3,162,162,90,51,,,,,,
100946,25,3,168,168,91,51,,,,,,
100946,25,3,206,206,92,51,,,,,,
100946,25,3,207,207,93,51,,,,,,
100946,25,3,249,249,94,51,,,,,,
100962,25,1,155,155,95,71,,,,,,
100962,25,1,156,156,96,71,,,,,,
100962,25,1,157,157,97,71,,,,,,
100962,25,1,158,158,98,71,,,,,,
100962,25,1,159,159,99,71,,,,,,
100962,25,1,160,160,100,71,,,,,,
100962,25,1,161,161,101,71,,,,,,
100962,25,1,162,162,102,71,,,,,,
100962,25,1,168,168,103,71,,,,,,
100962,25,1,206,206,104,71,,,,,,
100962,25,1,207,207,105,71,,,,,,
100962,25,2,155,155,106,72,,,,,,
100962,25,2,156,156,107,72,,,,,,
100962,25,2,157,157,108,72,,,,,,
100962,25,2,158,158,109,72,,,,,,
100962,25,2,159,159,110,72,,,,,,
100962,25,2,160,160,111,72,,,,,,
100962,25,2,161,161,112,72,,,,,,
100962,25,2,162,162,113,72,,,,,,
100962,25,2,168,168,114,72,,,,,,
100962,25,2,206,206,115,72,,,,,,
100962,25,2,207,207,116,72,,,,,,
100962,25,3,155,155,117,73,,,,,,
100962,25,3,156,156,118,73,,,,,,
100962,25,3,157,157,119,73,,,,,,
100962,25,3,158,158,120,73,,,,,,
100962,25,3,159,159,121,73,,,,,,
100962,25,3,160,160,122,73,,,,,,
100962,25,3,161,161,123,73,,,,,,
100962,25,3,162,162,124,73,,,,,,
100962,25,3,168,168,125,73,,,,,,
100962,25,3,206,206,126,73,,,,,,
100962,25,3,207,207,127,73,,,,,,
100965-2KART,25,1,155,155,128,94,,,,,,
100965-2KART,25,1,156,156,129,94,,,,,,
100965-2KART,25,1,157,157,130,94,,,,,,
100965-2KART,25,1,158,158,131,94,,,,,,
100965-2KART,25,1,159,159,132,94,,,,,,
100965-2KART,25,1,160,160,133,94,,,,,,
100965-2KART,25,1,161,161,134,94,,,,,,
100965-2KART,25,1,162,162,135,94,,,,,,
100965-2KART,25,1,168,168,136,94,,,,,,
100965-2KART,25,1,206,206,137,94,,,,,,
100965-2KART,25,1,207,207,138,94,,,,,,
100965-2KART,25,3,155,155,139,96,,,,,,
100965-2KART,25,3,156,156,140,96,,,,,,
100965-2KART,25,3,157,157,141,96,,,,,,
100965-2KART,25,3,158,158,142,96,,,,,,
100965-2KART,25,3,159,159,143,96,,,,,,
100965-2KART,25,3,160,160,144,96,,,,,,
100965-2KART,25,3,161,161,145,96,,,,,,
100965-2KART,25,3,162,162,146,96,,,,,,
100965-2KART,25,3,168,168,147,96,,,,,,
100965-2KART,25,3,206,206,148,96,,,,,,
100965-2KART,25,3,207,207,149,96,,,,,,
100966,25,1,155,155,150,116,,,,,,
100966,25,1,156,156,151,116,,,,,,
100966,25,1,157,157,152,116,,,,,,
100966,25,1,158,158,153,116,,,,,,
100966,25,1,159,159,154,116,,,,,,
100966,25,1,160,160,155,116,,,,,,
100966,25,1,161,161,156,116,,,,,,
100966,25,1,162,162,157,116,,,,,,
100966,25,1,168,168,158,116,,,,,,
100966,25,1,206,206,159,116,,,,,,
100966,25,1,207,207,160,116,,,,,,
100966,25,2,155,155,161,117,,,,,,
100966,25,2,156,156,162,117,,,,,,
100966,25,2,157,157,163,117,,,,,,
100966,25,2,158,158,164,117,,,,,,
100966,25,2,159,159,165,117,,,,,,
100966,25,2,160,160,166,117,,,,,,
100966,25,2,161,161,167,117,,,,,,
100966,25,2,162,162,168,117,,,,,,
100966,25,2,168,168,169,117,,,,,,
100966,25,2,206,206,170,117,,,,,,
100966,25,2,207,207,171,117,,,,,,
100966,25,3,155,155,172,118,,,,,,
100966,25,3,156,156,173,118,,,,,,
100966,25,3,157,157,174,118,,,,,,
100966,25,3,158,158,175,118,,,,,,
100966,25,3,159,159,176,118,,,,,,
100966,25,3,160,160,177,118,,,,,,
100966,25,3,161,161,178,118,,,,,,
100966,25,3,162,162,179,118,,,,,,
100966,25,3,168,168,180,118,,,,,,
100966,25,3,206,206,181,118,,,,,,
100966,25,3,207,207,182,118,,,,,,
100967,25,1,155,155,183,140,,,,,,
100967,25,1,156,156,184,140,,,,,,
100967,25,1,157,157,185,140,,,,,,
100967,25,1,158,158,186,140,,,,,,
100967,25,1,159,159,187,140,,,,,,
100967,25,1,160,160,188,140,,,,,,
100967,25,1,161,161,189,140,,,,,,
100967,25,1,162,162,190,140,,,,,,
100967,25,1,168,168,191,140,,,,,,
100967,25,1,206,206,192,140,,,,,,
100967,25,1,207,207,193,140,,,,,,
100967,25,1,249,249,194,140,,,,,,
100967,25,1,314,314,195,140,,,,,,
100967,25,3,155,155,196,141,,,,,,
100967,25,3,156,156,197,141,,,,,,
100967,25,3,157,157,198,141,,,,,,
100967,25,3,158,158,199,141,,,,,,
100967,25,3,159,159,200,141,,,,,,
100967,25,3,160,160,201,141,,,,,,
100967,25,3,161,161,202,141,,,,,,
100967,25,3,162,162,203,141,,,,,,
100967,25,3,168,168,204,141,,,,,,
100967,25,3,206,206,205,141,,,,,,
100967,25,3,207,207,206,141,,,,,,
100967,25,3,249,249,207,141,,,,,,
100976,25,1,155,155,208,162,,,,,,
100976,25,1,156,156,209,162,,,,,,
100976,25,1,157,157,210,162,,,,,,
100976,25,1,158,158,211,162,,,,,,
100976,25,1,159,159,212,162,,,,,,
100976,25,1,160,160,213,162,,,,,,
100976,25,1,161,161,214,162,,,,,,
100976,25,1,162,162,215,162,,,,,,
100976,25,1,168,168,216,162,,,,,,
100976,25,1,206,206,217,162,,,,,,
100976,25,1,207,207,218,162,,,,,,
100976,25,3,155,155,219,164,,,,,,
100976,25,3,156,156,220,164,,,,,,
100976,25,3,157,157,221,164,,,,,,
100976,25,3,158,158,222,164,,,,,,
100976,25,3,159,159,223,164,,,,,,
100976,25,3,160,160,224,164,,,,,,
100976,25,3,161,161,225,164,,,,,,
100976,25,3,162,162,226,164,,,,,,
100976,25,3,168,168,227,164,,,,,,
100976,25,3,206,206,228,164,,,,,,
100976,25,3,207,207,229,164,,,,,,
100981,25,2,155,155,230,186,,,,,,
100981,25,2,156,157,231,186,,,,,,
100981,25,2,157,157,232,186,,,,,,
100981,25,2,158,158,233,186,,,,,,
100981,25,2,159,159,234,186,,,,,,
100981,25,2,160,160,235,186,,,,,,
100981,25,2,161,161,236,186,,,,,,
100981,25,2,162,161,237,186,,,,,,
100981,25,2,168,168,238,186,,,,,,
100981,25,2,206,206,239,186,,,,,,
100981,25,2,207,207,240,186,,,,,,
100981,25,2,249,249,241,186,,,,,,
100981,25,3,155,155,242,187,,,,,,
100981,25,3,156,156,243,187,,,,,,
100981,25,3,157,157,244,187,,,,,,
100981,25,3,158,158,245,187,,,,,,
100981,25,3,159,159,246,187,,,,,,
100981,25,3,160,160,247,187,,,,,,
100981,25,3,161,161,248,187,,,,,,
100981,25,3,162,162,249,187,,,,,,
100981,25,3,168,168,250,187,,,,,,
100981,25,3,206,206,251,187,,,,,,
100981,25,3,207,207,252,187,,,,,,
100981,25,3,249,249,253,187,,,,,,
100981,25,5,155,155,254,188,,,,,,
100981,25,5,156,156,255,188,,,,,,
100981,25,5,157,157,256,188,,,,,,
100981,25,5,158,158,257,188,,,,,,
100981,25,5,159,159,258,188,,,,,,
100981,25,5,160,160,259,188,,,,,,
100981,25,5,161,161,260,188,,,,,,
100981,25,5,162,162,261,188,,,,,,
100981,25,5,168,168,262,188,,,,,,
100981,25,5,206,206,263,188,,,,,,
100981,25,5,207,207,264,188,,,,,,
101187,25,2,155,156,265,207,,,,,,
101187,25,2,156,156,266,207,,,,,,
101187,25,2,157,157,267,207,,,,,,
101187,25,2,158,158,268,207,,,,,,
101187,25,2,159,159,269,207,,,,,,
101187,25,2,160,160,270,207,,,,,,
101187,25,2,161,161,271,207,,,,,,
101187,25,2,162,161,272,207,,,,,,
101187,25,2,168,168,273,207,,,,,,
101187,25,2,206,168,274,207,,,,,,
101187,25,2,207,207,275,207,,,,,,
101187,25,2,249,249,276,207,,,,,,
101187,25,3,155,155,277,208,,,,,,
101187,25,3,156,156,278,208,,,,,,
101187,25,3,157,157,279,208,,,,,,
101187,25,3,158,158,280,208,,,,,,
101187,25,3,159,159,281,208,,,,,,
101187,25,3,160,160,282,208,,,,,,
101187,25,3,161,161,283,208,,,,,,
101187,25,3,162,162,284,208,,,,,,
101187,25,3,168,168,285,208,,,,,,
101187,25,3,206,206,286,208,,,,,,
101187,25,3,207,207,287,208,,,,,,
101187,25,3,249,249,288,208,,,,,,
101187,25,4,155,155,289,209,,,,,,
101187,25,4,156,156,290,209,,,,,,
101187,25,4,157,157,291,209,,,,,,
101187,25,4,158,158,292,209,,,,,,
101187,25,4,159,159,293,209,,,,,,
101187,25,4,160,160,294,209,,,,,,
101187,25,4,161,161,295,209,,,,,,
101187,25,4,162,162,296,209,,,,,,
101187,25,4,168,168,297,209,,,,,,
101187,25,4,206,206,298,209,,,,,,
101187,25,4,207,207,299,209,,,,,,
101187,25,4,249,249,300,209,,,,,,
101188,25,1,155,155,301,230,,,,,,
101188,25,1,156,156,302,230,,,,,,
101188,25,1,157,157,303,230,,,,,,
101188,25,1,158,158,304,230,,,,,,
101188,25,1,159,159,305,230,,,,,,
101188,25,1,160,160,306,230,,,,,,
101188,25,1,161,161,307,230,,,,,,
101188,25,1,162,162,308,230,,,,,,
101188,25,1,168,168,309,230,,,,,,
101188,25,1,206,206,310,230,,,,,,
101188,25,1,207,207,311,230,,,,,,
101188,25,1,249,249,312,230,,,,,,
101188,25,2,155,155,313,231,,,,,,
101188,25,2,156,156,314,231,,,,,,
101188,25,2,157,157,315,231,,,,,,
101188,25,2,158,158,316,231,,,,,,
101188,25,2,159,159,317,231,,,,,,
101188,25,2,160,160,318,231,,,,,,
101188,25,2,161,161,319,231,,,,,,
101188,25,2,162,162,320,231,,,,,,
101188,25,2,168,168,321,231,,,,,,
101188,25,2,206,206,322,231,,,,,,
101188,25,2,207,207,323,231,,,,,,
101188,25,2,249,249,324,231,,,,,,
